row_id,activity_id,criteria_category,acceptance_criteria,what_this_means,measures_and_success,mos,mos_measurement,moc,moc_measurement,artifact_name,artifact_type,format,storage_location,path,status
1,1,Definition,Business outcome clearly stated,You�ve clearly said what success looks like in plain terms.,"Outcome clarity, stakeholder alignment, measurable target defined","Draft completeness %, stakeholder review count","Track doc completeness checklist, count reviews/comments","Outcome defined, agreed, measurable",Document contains outcome + metric + approval recorded,Outcome Specification,Spec,Markdown,GitHub Repository,/docs/problem-framing/outcomes.md,Not Started
2,1,Structure,Follows format: problem ? user ? measurable outcome,It�s not vague�you�ve structured it so others can understand it quickly.,"Structured clarity, completeness of outcome definition","Definition completeness %, format adherence score","Check required fields (problem, user, metric) present and structured",Outcome structured correctly,Document follows required format with all sections present,Outcome Specification,Spec,Markdown,GitHub Repository,/docs/problem-framing/outcome-specification.md,Not Started
3,1,Implementation,Document exists in system of record,"It�s written down somewhere official, not just in your head.","Availability, accessibility of outcome definition","Artifact existence %, accessibility check",Verify document exists in repo / system and is accessible,Outcome documented,Document exists in system of record and is accessible,Outcome Specification,Spec,Markdown,GitHub Repository,/docs/problem-framing/outcome-specification.md,Not Started
4,1,Validation,Reviewed and agreed by stakeholders,Other people agree this is the right goal.,"Stakeholder alignment, approval completeness","Stakeholder approval %, review completion rate","Track approvals, comments, sign-offs",Outcome validated,Approval recorded from required stakeholders,Outcome Approval Record,System Record,Markdown,GitHub Repository,/docs/problem-framing/outcome-specification.md,Not Started
5,1,Traceability,Versioned and linked to system/component,We can find it later and see how it changed over time.,"Version control, linkage to system artifacts","Versioning completeness %, linkage presence",Check version history and references to components,Outcome traceable,Version history exists and links to relevant components,Outcome Version Metadata,System Record,Git,GitHub Repository,/docs/problem-framing/outcome-specification.md,Not Started
6,2,Definition,User types/personas identified,You know who this is for.,"Persona completeness, coverage of use cases","Personas defined %, use cases mapped","Checklist of persona fields, count mapped flows",Personas defined and validated,Personas documented + reviewed + linked to flows,User Persona Specification,Spec,Markdown,GitHub Repository,/docs/problem-framing/user-persona-specification.md,Not Started
7,2,Structure,"Personas include goals, context, use cases",You understand what they need and how they�ll use it.,"Persona structure completeness, usability clarity","Schema completeness %, attribute coverage","Check required persona attributes present (goals, context, use cases)",Personas structured correctly,All required persona attributes present and organized,User Persona Specification,Spec,Markdown,GitHub Repository,/docs/problem-framing/user-persona-specification.md,Not Started
8,2,Implementation,Documented in system of record,It�s captured somewhere others can access.,"Availability, accessibility of persona definitions","Artifact existence %, accessibility check",Verify document exists and is accessible in system,Personas documented,Document exists and is accessible to team,User Persona Specification,Spec,Markdown,GitHub Repository,/docs/problem-framing/user-persona-specification.md,Not Started
9,2,Validation,Reviewed with stakeholders,Others agree these are the right users.,Stakeholder alignment on personas,"Approval %, feedback incorporation rate",Track stakeholder reviews and approvals,Personas validated,Approval recorded and feedback incorporated,User Persona Approval Record,System Record,Markdown,GitHub Repository,/docs/problem-framing/user-persona-specification.md,Not Started
10,2,Traceability,Versioned and linked to use cases,You can track changes and tie users to actual flows.,Versioning and linkage to system flows,"Versioning completeness %, linkage presence",Check version history and mapping to use cases,Personas traceable,Version history exists and personas linked to use cases,User Persona Version Metadata,System Record,Git,GitHub Repository,/docs/problem-framing/user-persona-specification.md,Not Started
11,3,Definition,"Constraints identified (technical, business, regulatory)",You�ve listed what limits or rules we have to operate within.,"Constraint clarity, completeness, coverage across domains","Constraint completeness %, constraint category coverage","Checklist of constraint types (technical, business, regulatory) present",Constraints defined,Constraint list exists and covers required categories,Constraint Specification,Spec,Markdown,GitHub Repository,/docs/problem-framing/constraint-specification.md,Not Started
12,3,Structure,"Constraints categorized and organized by type (technical, business, regulatory)",They�re structured so we can understand and apply them clearly.,"Constraint organization, clarity of categorization","Constraint structure completeness %, category clarity score",Check constraints are grouped and labeled correctly,Constraints structured,Constraints categorized and organized by type,Constraint Specification,Spec,Markdown,GitHub Repository,/docs/problem-framing/constraint-specification.md,Not Started
13,3,Implementation,Constraints documented in system of record,They are written down where others can access them.,"Availability, accessibility of constraint definitions","Artifact existence %, accessibility check",Verify document exists and is accessible,Constraints documented,Constraint document exists and is accessible,Constraint Specification,Spec,Markdown,GitHub Repository,/docs/problem-framing/constraint-specification.md,Not Started
14,3,Validation,Constraints reviewed and confirmed by stakeholders,Others agree these constraints are correct and complete.,"Stakeholder alignment, approval completeness","Constraint approval %, review completion rate",Track stakeholder approvals and reviews,Constraints validated,Approval recorded from required stakeholders,Constraint Approval Record,System Record,Markdown,GitHub Repository,/docs/problem-framing/constraint-specification.md,Not Started
15,3,Traceability,Constraints versioned and linked to system components,We can track changes and see where constraints apply.,"Version control, linkage to system artifacts","Versioning completeness %, linkage presence",Check version history and references to components,Constraints traceable,Version history exists and constraints linked to components,Constraint Version Metadata,System Record,Git,GitHub Repository,/docs/problem-framing/constraint-specification.md,Not Started
